               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,             0.03562,            0.011892,           0.0075125,                   1,             0.84263,             0.90969,             0.54085,            0.037524,           0.0053434,           0.0060429,             0.00868,             0.00868,             0.00868
                  82,            0.035975,            0.011181,           0.0063439,             0.98159,              0.8024,             0.87968,             0.59489,            0.034589,           0.0054002,           0.0050997,           0.0086635,           0.0086635,           0.0086635
                  83,            0.035022,             0.01202,           0.0067132,             0.93936,             0.79553,             0.88268,             0.61607,              0.0337,           0.0052562,           0.0070747,            0.008647,            0.008647,            0.008647
                  84,            0.034405,            0.012129,           0.0071991,                   1,             0.85754,             0.88397,             0.57336,            0.031996,           0.0053873,           0.0055113,           0.0086305,           0.0086305,           0.0086305
                  85,             0.03354,            0.012342,           0.0071269,             0.98348,             0.79221,             0.84736,             0.59528,            0.034078,           0.0056763,           0.0085478,            0.008614,            0.008614,            0.008614
                  86,            0.035887,            0.011261,           0.0056614,             0.98207,             0.83096,             0.88248,              0.5776,            0.033003,           0.0054479,           0.0084133,           0.0085975,           0.0085975,           0.0085975
                  87,            0.031938,            0.010429,           0.0054851,                   1,             0.84471,             0.90001,             0.62404,            0.033564,           0.0052691,           0.0045456,            0.008581,            0.008581,            0.008581
                  88,            0.032366,            0.010415,           0.0053825,             0.97911,             0.83517,              0.9119,             0.57439,            0.033132,           0.0051708,           0.0055729,           0.0085645,           0.0085645,           0.0085645
                  89,            0.031378,            0.011672,           0.0064001,              0.9786,             0.83366,             0.89227,               0.633,            0.030385,            0.005208,           0.0062899,            0.008548,            0.008548,            0.008548
                  90,            0.030824,            0.011396,           0.0053788,             0.99413,              0.8584,             0.89716,             0.60285,            0.032212,           0.0050735,            0.007152,           0.0085315,           0.0085315,           0.0085315
                  91,            0.034457,            0.011644,            0.006537,             0.98153,             0.83594,             0.89731,             0.63132,            0.031065,           0.0049009,           0.0069904,            0.008515,            0.008515,            0.008515
                  92,            0.033488,            0.012189,           0.0069747,             0.99587,             0.86775,             0.92292,              0.5331,            0.035924,           0.0051904,           0.0076652,           0.0084985,           0.0084985,           0.0084985
                  93,            0.031412,            0.011506,           0.0058304,             0.96054,             0.83138,             0.88883,             0.61883,            0.032685,           0.0053248,            0.006399,            0.008482,            0.008482,            0.008482
                  94,            0.032448,            0.011104,           0.0055685,             0.93983,             0.74193,             0.81178,             0.50006,            0.044829,           0.0063739,            0.011029,           0.0084655,           0.0084655,           0.0084655
                  95,            0.033629,            0.011544,           0.0061755,             0.98693,             0.83766,              0.8732,             0.59138,            0.037484,           0.0054922,           0.0069134,            0.008449,            0.008449,            0.008449
                  96,            0.030386,            0.011821,           0.0054097,             0.97437,             0.83766,             0.89411,             0.57963,            0.032751,           0.0052829,           0.0039268,           0.0084325,           0.0084325,           0.0084325
                  97,            0.029932,            0.012164,           0.0059102,             0.97713,             0.79221,             0.90186,             0.62797,            0.029809,           0.0050342,           0.0042328,            0.008416,            0.008416,            0.008416
                  98,            0.029874,            0.010924,           0.0047079,             0.99056,             0.83766,              0.9189,             0.67249,            0.029848,            0.005023,            0.003528,           0.0083995,           0.0083995,           0.0083995
                  99,            0.032597,            0.011498,           0.0056565,             0.99156,             0.83766,             0.90331,             0.63599,            0.029897,           0.0050583,           0.0039677,            0.008383,            0.008383,            0.008383
                 100,            0.032678,            0.010257,           0.0048234,              0.9851,             0.83321,             0.89799,             0.66958,             0.02879,           0.0051665,           0.0032228,           0.0083665,           0.0083665,           0.0083665
                 101,             0.03381,            0.012643,           0.0053085,             0.97887,             0.83766,             0.88195,              0.5703,            0.032577,           0.0057602,           0.0035675,             0.00835,             0.00835,             0.00835
                 102,            0.032554,            0.010494,           0.0051089,             0.98074,             0.83627,             0.92011,              0.5992,            0.034022,           0.0050235,           0.0026782,           0.0083335,           0.0083335,           0.0083335
                 103,            0.033916,            0.011097,           0.0063982,             0.97759,             0.83323,             0.91766,             0.67693,            0.030417,           0.0048785,           0.0031349,            0.008317,            0.008317,            0.008317
                 104,            0.031891,            0.010486,           0.0048912,             0.98845,             0.84569,             0.95516,             0.59258,            0.029833,           0.0051551,           0.0033362,           0.0083005,           0.0083005,           0.0083005
                 105,            0.030825,            0.010917,           0.0061926,             0.98036,             0.81658,             0.90728,             0.65029,            0.030686,           0.0052156,           0.0024448,            0.008284,            0.008284,            0.008284
                 106,            0.030893,            0.010687,           0.0050218,             0.93345,             0.90909,             0.95151,             0.69335,            0.028042,           0.0050521,           0.0026672,           0.0082675,           0.0082675,           0.0082675
                 107,            0.029745,            0.011438,           0.0049166,             0.98776,             0.83766,             0.93707,             0.64414,            0.029457,           0.0050454,           0.0029312,            0.008251,            0.008251,            0.008251
                 108,            0.029538,             0.01006,           0.0048071,             0.97424,             0.86844,             0.97882,             0.68081,            0.028016,           0.0048962,           0.0032635,           0.0082345,           0.0082345,           0.0082345
                 109,            0.030053,            0.011077,           0.0037615,             0.99148,             0.84747,             0.94882,             0.67323,            0.030699,           0.0048766,           0.0055288,            0.008218,            0.008218,            0.008218
                 110,            0.031391,            0.011036,            0.003751,             0.99136,             0.84556,             0.90731,             0.68666,            0.026646,           0.0047388,           0.0059978,           0.0082015,           0.0082015,           0.0082015
                 111,            0.030742,            0.010349,           0.0044047,             0.97279,             0.86791,             0.96365,             0.69696,            0.027157,           0.0047209,           0.0057417,            0.008185,            0.008185,            0.008185
                 112,            0.031588,            0.011345,           0.0061862,             0.99001,             0.87284,              0.9642,             0.67774,            0.025398,            0.004725,           0.0043039,           0.0081685,           0.0081685,           0.0081685
                 113,            0.028117,            0.010844,            0.004607,             0.99194,             0.84831,             0.90652,             0.73659,            0.026154,           0.0046904,           0.0048242,            0.008152,            0.008152,            0.008152
                 114,            0.028781,            0.010636,           0.0053259,             0.99227,             0.86527,             0.91413,             0.70287,             0.02921,           0.0049314,           0.0049099,           0.0081355,           0.0081355,           0.0081355
                 115,            0.028679,            0.010004,           0.0035442,                   1,             0.84048,             0.90936,             0.69529,            0.028733,           0.0048909,           0.0077858,            0.008119,            0.008119,            0.008119
                 116,            0.028923,            0.010843,           0.0050682,             0.97276,             0.85939,             0.92678,              0.6629,            0.028472,           0.0049987,           0.0041454,           0.0081025,           0.0081025,           0.0081025
                 117,            0.028127,           0.0095425,           0.0055662,             0.98905,             0.83766,             0.90328,             0.65902,            0.027884,           0.0049906,           0.0038018,            0.008086,            0.008086,            0.008086
                 118,            0.029729,            0.010593,           0.0045175,             0.98758,             0.83766,             0.90303,             0.61241,            0.031808,           0.0050323,           0.0051146,           0.0080695,           0.0080695,           0.0080695
                 119,            0.031913,            0.010272,           0.0060424,             0.98816,             0.83766,             0.90204,              0.6497,            0.029207,           0.0047679,           0.0043934,            0.008053,            0.008053,            0.008053
                 120,            0.029635,            0.010607,           0.0035497,             0.98836,             0.83766,             0.89568,             0.66172,            0.027279,           0.0047033,           0.0038883,           0.0080365,           0.0080365,           0.0080365
                 121,             0.03023,           0.0099604,           0.0049355,             0.98086,             0.83766,             0.90156,             0.62595,            0.027608,           0.0048261,           0.0036885,             0.00802,             0.00802,             0.00802
                 122,            0.030489,            0.011438,           0.0038157,             0.98068,             0.86541,             0.94183,             0.67306,            0.025483,           0.0047283,           0.0034675,           0.0080035,           0.0080035,           0.0080035
                 123,            0.027876,             0.01044,           0.0041506,             0.98924,             0.87338,             0.93926,              0.6503,            0.029454,            0.004838,           0.0036368,            0.007987,            0.007987,            0.007987
                 124,            0.029419,            0.010005,           0.0033508,             0.98302,             0.83766,             0.94486,             0.62905,            0.029321,           0.0047965,           0.0029997,           0.0079705,           0.0079705,           0.0079705
                 125,            0.029063,             0.01108,           0.0042161,             0.97715,             0.87112,             0.95412,             0.61643,            0.029378,           0.0049269,           0.0031897,            0.007954,            0.007954,            0.007954
                 126,            0.027843,           0.0097457,           0.0048062,             0.98609,             0.83766,             0.92361,             0.69439,            0.028537,           0.0048215,           0.0042255,           0.0079375,           0.0079375,           0.0079375
                 127,            0.030195,            0.010456,           0.0039732,             0.98248,             0.83766,              0.9514,             0.71459,            0.026408,           0.0047188,           0.0029886,            0.007921,            0.007921,            0.007921
                 128,            0.031301,            0.010717,           0.0049614,             0.99378,             0.84318,              0.9364,             0.73418,            0.026042,           0.0048211,           0.0045604,           0.0079045,           0.0079045,           0.0079045
                 129,            0.027564,            0.009616,             0.00406,             0.99194,             0.85053,              0.9313,             0.71535,            0.025046,           0.0048954,           0.0040186,            0.007888,            0.007888,            0.007888
                 130,            0.029281,            0.011189,            0.004904,             0.98642,             0.83766,             0.91129,             0.71548,            0.025324,            0.005003,           0.0046106,           0.0078715,           0.0078715,           0.0078715
